bug_id,product,invovled_tools,invovled_tools_num,commits,modified_tools,modified_tools_num,invovled_tools_modification,is_product_modified,non-involved_modified_tools_num
10067,libraries,clang|libraries,2,132485,libraries,1,part,True,0
10087,clang,clang|libc++,2,132676|132998,clang|libraries,2,part,True,1
10127,clang,clang|libc++,2,148787,clang,1,part,True,0
10148,clang,clang|libraries,2,134831,clang,1,part,True,0
10191,libc++,clang|libc++,2,133907|133996|134248,clang|libc++|libraries,3,all,True,1
10217,clang,clang|libc++,2,153773|153894|153897,clang,1,part,True,0
10232,clang,clang|libraries,2,134515,clang,1,part,True,0
10325,clang,clang|libc++,2,134966,clang,1,part,True,0
10400,polly,clang|polly,2,138402,polly,1,part,True,0
10480,clang,clang|libraries,2,136081,clang,1,part,True,0
10630,clang,clang|libc++,2,137383,clang,1,part,True,0
10646,libraries,clang|libc++|libraries,3,141418,clang,1,part,False,0
10649,libraries,clang|libc++|libraries,3,137567,libraries,1,part,True,0
10800,clang,clang|libc++,2,138789,clang,1,part,True,0
10847,clang,clang|libc++,2,139144,clang,1,part,True,0
10856,clang,clang|libc++,2,309118,clang,1,part,True,0
10927,clang,clang|libc++,2,139751|139752,clang|libraries,2,part,True,1
10989,libraries,libc++|libraries,2,140356,libraries,1,part,True,0
10990,clang,clang|libraries,2,131446|140542,clang,1,part,True,0
11110,clang,clang|libc++,2,141777,clang,1,part,True,0
11117,clang,clang|libc++,2,141809,clang,1,part,True,0
11120,clang,clang|libraries,2,141788,clang,1,part,True,0
11131,clang,clang|libc++,2,141986,clang,1,part,True,0
11143,libraries,clang|libraries,2,142132,libraries,1,part,True,0
11294,clang,clang|libraries,2,143550|144563,clang,1,part,True,0
11297,clang,clang|libc++,2,147006,clang,1,part,True,0
11404,clang,clang|libc++,2,150947,libraries,1,none,False,1
11484,clang,clang|libc++,2,145874,clang,1,part,True,0
11613,clang,clang|libraries,2,146679|146976,clang,1,part,True,0
11786,libraries,libc++|libraries,2,162146,libraries,1,part,True,0
11802,clang,clang|libraries,2,143183,libraries,1,part,False,0
11832,clang,clang|libc++,2,151477,clang,1,part,True,0
11878,libc++,clang|libc++,2,150082,libc++,1,part,True,0
11879,clang,clang|libc++,2,149195,libraries,1,none,False,1
11893,clang,clang|libc++,2,174939|174940|184475,clang,1,part,True,0
11933,libraries,clang|libraries,2,149121|166880|166951|167157,clang|libraries,2,all,True,0
11939,clang,clang|libc++,2,149908|150076,clang|libraries,2,part,True,1
11984,clang,clang|libc++,2,150348,clang,1,part,True,0
12007,libc++,clang|libc++,2,150581|150599,libc++,1,part,True,0
12032,clang,clang|libc++,2,150949|150955|151117,clang|libraries|polly,3,part,True,2
12037,clang,clang|libc++,2,151005,clang,1,part,True,0
12038,clang,clang|libc++,2,150949|151352|151406|154288,clang|libc++|libraries,3,all,True,1
12185,libc++,clang|libc++,2,152240,libc++,1,part,True,0
12196,clang,clang|libraries,2,151910|152266,clang,1,part,True,0
12250,libraries,libc++|libraries,2,190990|192064|204167,libraries|polly,2,part,True,1
12266,clang,clang|compiler-rt|libraries,3,177453,clang,1,part,True,0
12277,polly,libraries|polly,2,152928,polly,1,part,True,0
12278,polly,clang|polly,2,152933,polly,1,part,True,0
12298,clang,clang|libc++,2,280190,clang,1,part,True,0
12314,libraries,libc++|libraries,2,153471,libraries,1,part,True,0
12346,clang,clang|libc++,2,153882|154017,clang|libraries,2,part,True,1
12436,clang,clang|libc++,2,153873|154065,clang|libc++,2,all,True,0
12495,libraries,libc++|libraries,2,154338|154359,libraries,1,part,True,0
12586,clang,clang|libc++,2,155076,clang,1,part,True,0
12757,libraries,clang|libraries,2,166943,libraries,1,part,True,0
12927,clang,clang|libraries,2,157340,libraries,1,part,False,0
