bug_id,product,invovled_tools,invovled_tools_num
10646,libraries,clang|libc++|libraries,3
10649,libraries,clang|libc++|libraries,3
10725,clang,clang|lldb,2
10746,libraries,clang|libraries,2
10800,clang,clang|libc++,2
10823,clang,clang|libc++,2
10824,clang,clang|libc++,2
10847,clang,clang|libc++,2
10856,clang,clang|libc++,2
10865,clang,clang|libraries,2
10927,clang,clang|libc++,2
10964,clang,clang|libraries,2
10989,libraries,libc++|libraries,2
10990,clang,clang|libraries,2
11110,clang,clang|libc++,2
11117,clang,clang|libc++,2
11120,clang,clang|libraries,2
11126,clang,clang|libraries,2
11131,clang,clang|libc++,2
11143,libraries,clang|libraries,2
11169,libraries,clang|libraries,2
11191,clang,clang|libraries,2
11208,clang,clang|lldb,2
11263,clang,clang|libc++,2
11294,clang,clang|libraries,2
11297,clang,clang|libc++,2
11346,clang,clang|libraries,2
11366,clang,clang|libraries,2
11373,clang,clang|libc++,2
11404,clang,clang|libc++,2
11436,clang,clang|compiler-rt,2
11473,polly,clang|libc++|polly,3
11484,clang,clang|libc++,2
11502,clang,clang|libraries,2
11584,clang,clang|compiler-rt,2
11613,clang,clang|libraries,2
11639,compiler-rt,clang|compiler-rt,2
11786,libraries,libc++|libraries,2
11788,clang,clang|libc++,2
11802,clang,clang|libraries,2
11827,clang,clang|libraries,2
11832,clang,clang|libc++,2
11846,compiler-rt,compiler-rt|libraries,2
11873,clang,clang|libraries,2
11878,libc++,clang|libc++,2
11879,clang,clang|libc++,2
11893,clang,clang|libc++,2
11933,libraries,clang|libraries,2
11939,clang,clang|libc++,2
11971,libraries,compiler-rt|libraries,2
11979,clang,clang|libc++,2
11980,clang,clang|libc++,2
11984,clang,clang|libc++,2
12007,libc++,clang|libc++,2
12028,clang,clang|libc++,2
12032,clang,clang|libc++,2
12034,clang,clang|libc++,2
12037,clang,clang|libc++,2
12038,clang,clang|libc++,2
12185,libc++,clang|libc++,2
12196,clang,clang|libraries,2
12250,libraries,libc++|libraries,2
12266,clang,clang|compiler-rt|libraries,3
12277,polly,libraries|polly,2
12278,polly,clang|polly,2
12298,clang,clang|libc++,2
12303,clang,clang|libc++,2
12314,libraries,libc++|libraries,2
12316,compiler-rt,clang|compiler-rt|libraries,3
12326,clang,clang|libc++,2
12346,clang,clang|libc++,2
12436,clang,clang|libc++,2
12495,libraries,libc++|libraries,2
12561,libraries,libc++|libraries,2
12582,clang,clang|libraries,2
12586,clang,clang|libc++,2
12598,clang,clang|compiler-rt|libraries,3
12614,clang,clang|libc++,2
12751,clang,clang|libraries,2
12757,libraries,clang|libraries,2
12834,clang,clang|libc++,2
12860,clang,clang|compiler-rt,2
12927,clang,clang|libraries,2
12950,clang,clang|compiler-rt,2
12984,clang,clang|libc++,2
12987,clang,clang|libraries,2
13000,clang,clang|libraries,2
13106,clang,clang|compiler-rt,2
13120,clang,clang|libc++,2
13154,clang,clang|lldb,2
